inquiry_id,opportunity_id,contact_id,inquiry_timestamp,contact_role,inquiry_method,arrival_channel,source_platform,tracking_number,call_duration_seconds,landing_page,match_confidence,source_system,evidence_class
INQ-000001,HRO-000001,CNT-000001,2026-05-09T15:31:35,Patient,Call,Paid Search,Google Ads,555-106-4629,720,,Confirmed,Call Tracking,System-Observed
INQ-000002,HRO-000002,CNT-000002,2026-05-12T14:10:17,Loved One,Call,Professional Referral,,555-230-3635,545,,Confirmed,CRM,Human-Entered
INQ-000003,HRO-000003,CNT-000004,2026-05-23T16:13:01,Patient,Call,Paid Search,Google Ads,555-234-1515,319,,Confirmed,Call Tracking,System-Observed
INQ-000004,HRO-000004,CNT-000005,2026-05-15T07:25:06,Loved One,Web Form,Organic,Google Organic,,,https://harborridge.example.test/contact,Confirmed,Web Form,System-Observed
INQ-000005,HRO-000005,CNT-000007,2026-05-27T20:26:59,Loved One,Call,Direct,,555-714-7255,145,,Confirmed,Call Tracking,System-Observed
INQ-000006,HRO-000006,CNT-000009,2026-05-01T16:56:23,Patient,Call,Paid Search,Microsoft Ads,555-238-7534,861,,Confirmed,Call Tracking,System-Observed
INQ-000007,HRO-000007,CNT-000010,2026-05-22T09:49:33,Loved One,Call,Local,GBP,555-142-9088,181,,Confirmed,Call Tracking,System-Observed
INQ-000008,HRO-000007,CNT-000011,2026-05-22T09:49:33,Loved One,Web Form,Local,GBP,,,https://harborridge.example.test/contact,Confirmed,Web Form,System-Observed
INQ-000009,HRO-000008,CNT-000013,2026-05-10T10:27:55,Patient,Web Form,Paid Search,Google Ads,,,https://harborridge.example.test/contact,Probable,Web Form,System-Observed
INQ-000010,HRO-000009,CNT-000014,2026-05-06T08:06:32,Loved One,Call,Professional Referral,,555-932-5940,356,,Confirmed,CRM,Human-Entered
INQ-000011,HRO-000009,CNT-000015,2026-05-07T08:06:32,Patient,Call,Professional Referral,,555-124-8901,354,,Confirmed,CRM,Human-Entered
INQ-000012,HRO-000010,CNT-000016,2026-05-14T18:09:54,Patient,Call,Paid Search,Google Ads,555-332-1443,507,,Confirmed,Call Tracking,System-Observed
